Time,3 Theta,3 Alpha,3 Low_beta,3 High_beta,3 Gamma,4 Theta,4 Alpha,4 Low_beta,4 High_beta,4 Gamma,5 Theta,5 Alpha,5 Low_beta,5 High_beta,5 Gamma,6 Theta,6 Alpha,6 Low_beta,6 High_beta,6 Gamma,7 Theta,7 Alpha,7 Low_beta,7 High_beta,7 Gamma,8 Theta,8 Alpha,8 Low_beta,8 High_beta,8 Gamma,9 Theta,9 Alpha,9 Low_beta,9 High_beta,9 Gamma,10 Theta,10 Alpha,10 Low_beta,10 High_beta,10 Gamma,11 Theta,11 Alpha,11 Low_beta,11 High_beta,11 Gamma,12 Theta,12 Alpha,12 Low_beta,12 High_beta,12 Gamma,13 Theta,13 Alpha,13 Low_beta,13 High_beta,13 Gamma,14 Theta,14 Alpha,14 Low_beta,14 High_beta,14 Gamma,15 Theta,15 Alpha,15 Low_beta,15 High_beta,15 Gamma,16 Theta,16 Alpha,16 Low_beta,16 High_beta,16 Gamma,Label
2.125553846,98.20449618,34.0334117,17.34783393,9.137926713,3.858559773,74.28552351,25.89653521,13.34572466,6.719219038,2.803648001,100.5029557,35.27711577,17.88273994,8.991599001,3.76358002,89.46486047,31.56898662,16.13725572,7.996065622,3.392205882,49.1948647,17.49745875,8.985595118,4.594736865,2.186911123,94.26563741,33.49422151,17.25025273,8.642908887,4.444946897,104.2501153,35.83743905,18.99256695,9.49309794,4.00219707,84.03900118,29.94805371,15.86683311,8.10430269,3.502271589,89.43887693,32.08655114,17.19259796,8.854958239,3.65884197,70.91551123,25.99773335,13.682435,7.641010647,3.673791013,87.78881793,30.86505794,16.00295047,7.926979382,3.315947465,112.7862742,39.45339499,20.34439632,10.20757453,4.251341317,83.83083377,29.74266347,15.11513122,8.115929301,3.566463046,94.9385446,33.21160697,16.85978002,8.60981821,3.570677561,green
2.631053925,4.358403972,0.982139826,0.884936946,0.432375476,0.144789529,0.078021431,0.031866578,0.054110163,0.021261568,0.021185667,0.014448355,0.038251105,0.008365985,0.011887729,0.021381965,0.027152559,0.011556967,0.02987963,0.037608941,0.060968359,1.012251272,0.719675675,0.454570139,0.376543908,0.27737678,1.500556718,0.919164727,0.462004589,0.553938448,0.417439839,0.636496214,0.363563559,0.140134636,0.196445144,0.15868049,1.670817239,0.344165005,0.475830986,0.595549304,0.351731327,1.882615599,0.231154858,0.297370798,0.451187912,0.223439967,3.207290885,1.059253718,1.160324016,1.08676501,1.08673326,0.032419127,0.028110437,0.008111505,0.014837834,0.022724568,0.013921881,0.015417669,0.040378916,0.028573706,0.026479384,3.347522156,0.872699722,0.641866362,0.767595799,0.337781652,0.012268912,0.050102809,0.032166943,0.027231664,0.033555541,green
2.733723879,4.358403972,0.982139826,0.884936946,0.432375476,0.144789529,0.078021431,0.031866578,0.054110163,0.021261568,0.021185667,0.014448355,0.038251105,0.008365985,0.011887729,0.021381965,0.027152559,0.011556967,0.02987963,0.037608941,0.060968359,1.012251272,0.719675675,0.454570139,0.376543908,0.27737678,1.500556718,0.919164727,0.462004589,0.553938448,0.417439839,0.636496214,0.363563559,0.140134636,0.196445144,0.15868049,1.670817239,0.344165005,0.475830986,0.595549304,0.351731327,1.882615599,0.231154858,0.297370798,0.451187912,0.223439967,3.207290885,1.059253718,1.160324016,1.08676501,1.08673326,0.032419127,0.028110437,0.008111505,0.014837834,0.022724568,0.013921881,0.015417669,0.040378916,0.028573706,0.026479384,3.347522156,0.872699722,0.641866362,0.767595799,0.337781652,0.012268912,0.050102809,0.032166943,0.027231664,0.033555541,green
2.836163998,4.358403972,0.982139826,0.884936946,0.432375476,0.144789529,0.078021431,0.031866578,0.054110163,0.021261568,0.021185667,0.014448355,0.038251105,0.008365985,0.011887729,0.021381965,0.027152559,0.011556967,0.02987963,0.037608941,0.060968359,1.012251272,0.719675675,0.454570139,0.376543908,0.27737678,1.500556718,0.919164727,0.462004589,0.553938448,0.417439839,0.636496214,0.363563559,0.140134636,0.196445144,0.15868049,1.670817239,0.344165005,0.475830986,0.595549304,0.351731327,1.882615599,0.231154858,0.297370798,0.451187912,0.223439967,3.207290885,1.059253718,1.160324016,1.08676501,1.08673326,0.032419127,0.028110437,0.008111505,0.014837834,0.022724568,0.013921881,0.015417669,0.040378916,0.028573706,0.026479384,3.347522156,0.872699722,0.641866362,0.767595799,0.337781652,0.012268912,0.050102809,0.032166943,0.027231664,0.033555541,green
3.140368938,20.20768405,2.159251404,1.446951817,0.577805687,0.224959119,0.15940156,0.014576275,0.049333923,0.027536572,0.022628493,0.018765666,0.043389846,0.010088182,0.012363584,0.018740059,0.054898977,0.010919831,0.026121081,0.042950634,0.051750591,1.823321257,0.984159519,0.555049756,0.689227881,0.261449791,2.757713995,0.867767544,0.636202687,0.948109335,0.29227793,0.653171604,0.412649145,0.124036579,0.13467716,0.132597503,3.773043828,0.873361729,0.802662802,0.587664527,0.302424796,2.582379485,0.39805375,0.515246061,0.314171955,0.18755562,9.333161727,1.499030632,1.767631345,1.107041277,1.214873843,0.091623217,0.018422732,0.019066493,0.021770665,0.020833813,0.008634539,0.029584501,0.041528562,0.030391029,0.025187908,14.9688484,1.306953537,1.48149107,0.674015848,0.266057808,0.006760728,0.077862068,0.020222071,0.028819861,0.03517869,green
3.645922899,9.738628056,0.951534637,0.695401548,0.455627111,0.220645743,0.067752231,0.009276874,0.028898297,0.025076925,0.023370154,0.018628261,0.036950185,0.007325816,0.009687064,0.013659166,0.063350026,0.010724211,0.044057697,0.030002816,0.038867852,2.555684498,0.506025996,0.670590752,0.692987836,0.371297361,2.474694134,1.187502025,0.549751527,1.238259488,0.44584316,0.670264203,0.372592424,0.132318502,0.099805653,0.129802164,3.883563773,0.958752426,0.671715022,0.519439015,0.288704443,1.982982506,0.431604143,0.5095114,0.343965258,0.145484836,8.103772481,1.100221029,1.405024247,0.982418966,0.996240691,0.100218218,0.022749954,0.03545446,0.032846349,0.031319873,0.005837132,0.017838429,0.033985357,0.030102617,0.030663404,10.56423689,0.777412838,0.992679979,0.513782767,0.294757205,0.01487477,0.060021404,0.017414372,0.018203996,0.019675952,green
4.050482988,1.149042372,0.420663361,0.387213017,0.57064385,0.147107826,0.033597272,0.02320224,0.012422333,0.018493876,0.02702324,0.015326868,0.032518471,0.01491828,0.0209647,0.014838145,0.046296361,0.014165279,0.024625828,0.014044127,0.030975509,2.283971562,0.42716761,0.370054302,0.303407129,0.484912979,1.854223877,0.804564251,0.317102817,0.768164888,0.385037401,0.720572364,0.393488616,0.14753158,0.083414647,0.090119998,1.708182332,0.718662745,0.334729257,0.510110365,0.286069016,1.309207726,0.304612194,0.289824415,0.250972081,0.232723325,2.973360826,1.211776768,0.767462117,0.874543391,1.123561583,0.023562101,0.030011467,0.031702853,0.025719078,0.026263395,0.007789457,0.017149263,0.027731257,0.021298521,0.020597446,2.775515907,0.547954859,0.370687898,0.64554245,0.448530797,0.017007762,0.047041681,0.020485837,0.014985726,0.022947504,green
4.557089806,0.697506767,0.524009256,0.332517494,0.528168363,0.162456482,0.084074349,0.042760135,0.022862976,0.015708454,0.028256363,0.017231901,0.038894464,0.013229622,0.023029315,0.013349234,0.054544702,0.019070878,0.015283614,0.030663122,0.031764727,0.892209272,0.306322263,0.304485147,0.187778247,0.319901102,0.917376042,0.416696574,0.328116954,0.672660633,0.303820655,0.798856176,0.342243566,0.40670122,0.150305017,0.092647993,0.611748103,0.521748028,0.67870345,0.570369177,0.144350609,0.472516863,0.225502874,0.419563058,0.280782578,0.231330511,1.31135714,1.17047612,0.459160571,0.76694038,1.141306979,0.016451091,0.045038617,0.036556091,0.023523076,0.019315454,0.00990311,0.031996983,0.012280006,0.02399334,0.02172798,1.91765963,0.975476047,0.69464174,0.542198427,0.386483035,0.01800501,0.041652604,0.017491526,0.016601526,0.028304484,green
5.16424489,0.672694053,0.448514547,0.460187751,0.381546911,0.162779852,0.05162542,0.051334102,0.045027662,0.016719174,0.028975865,0.027031713,0.034771752,0.018585572,0.016262062,0.013507348,0.064218958,0.022051219,0.031369355,0.027103577,0.033732172,0.416065469,0.151542438,0.364918579,0.198574086,0.31250996,0.363959554,0.32680717,0.725484396,0.509660798,0.310613504,0.61264615,0.232569779,0.38478964,0.13653327,0.076029196,0.707850265,0.441943693,1.249255179,0.693543136,0.118035957,0.414965374,0.296227518,0.578677456,0.360910473,0.13524621,1.295305388,0.702317326,0.506537166,0.651265169,0.937420346,0.018986317,0.01937729,0.047278494,0.015011666,0.023770767,0.015880523,0.045559357,0.015686717,0.023874364,0.027780219,1.377566951,0.760567742,1.34209947,0.385567915,0.25885983,0.027894466,0.024948809,0.019274274,0.016916158,0.020538621,green
5.570413828,2.363237215,0.469524845,0.449131656,0.328908459,0.132292527,0.0267555,0.035645079,0.039920532,0.028730919,0.028786412,0.023259988,0.027022463,0.023302277,0.016068834,0.015207688,0.032646041,0.036805286,0.035477211,0.01934896,0.027378026,0.837622613,0.240807211,0.428079843,0.261947869,0.206416796,0.467508,0.371403143,0.664437107,0.225592841,0.26391696,0.338050719,0.090492883,0.144008064,0.087549746,0.063893728,1.833769758,0.501637783,0.532936788,0.408188468,0.188170772,1.295065432,0.233063674,0.233283712,0.275643572,0.098666991,3.144835701,0.581495911,0.687866816,0.818164886,0.705322199,0.031797959,0.014911401,0.044058742,0.015408504,0.030453277,0.013777864,0.022276397,0.02244674,0.023176916,0.027068421,3.671553255,0.601551795,0.843104597,0.298663502,0.193399575,0.038106893,0.04063565,0.037693357,0.019982001,0.017629003,green
